ticker,date,open,high,low,close,volume,closeadj,closeunadj,lastupdated
JNJ,08-12-20,147.54,150.24,147.49,149.66,5257153.0,135.195,149.66,02-16-24
GOOGL,08-12-20,74.356,75.584,74.25,75.362,22501560.0,75.362,1507.24,07-18-22
JPM,08-12-20,106.16,106.43,101.71,102.94,19240169.0,92.545,102.94,04-04-24
MSFT,08-12-20,205.29,210.28,204.75,209.19,27987943.0,202.294,209.19,02-14-24
TSLA,08-12-20,98.0,105.667,95.667,103.651,325209240.0,103.651,1554.76,08-25-22
NVDA,08-12-20,109.907,114.67,109.582,114.403,46325996.0,114.077,457.61,03-05-24
V,08-12-20,199.0,200.23,198.24,198.74,5432399.0,193.524,198.74,02-08-24
AAPL,08-12-20,110.498,113.275,110.297,113.01,164514552.0,110.72,452.04,02-09-24
AMZN,08-12-20,155.4,158.719,155.071,158.112,70180380.0,158.112,3162.24,12-07-23
GOOGL,08-13-20,75.41,76.849,75.41,75.833,22289580.0,75.833,1516.65,07-18-22
JPM,08-13-20,102.0,103.36,101.635,102.37,13595868.0,92.033,102.37,04-04-24
MSFT,08-13-20,209.44,211.35,208.15,208.7,22499064.0,201.82,208.7,02-14-24
TSLA,08-13-20,107.4,110.079,104.484,108.067,300440895.0,108.067,1621.0,08-25-22
AAPL,08-13-20,114.43,116.043,113.927,115.01,201950304.0,112.679,460.04,02-09-24
NVDA,08-13-20,115.46,117.218,113.558,114.43,37163848.0,114.105,457.72,03-05-24
JNJ,08-13-20,148.54,149.19,147.53,148.0,5153714.0,133.695,148.0,02-16-24
V,08-13-20,197.13,199.94,197.03,197.58,7013887.0,192.687,197.58,02-08-24
AMZN,08-13-20,159.149,160.876,157.75,158.051,62637400.0,158.051,3161.02,12-07-23
AMZN,08-14-20,158.909,158.912,156.0,157.401,55034460.0,157.401,3148.02,12-07-23
GOOGL,08-14-20,75.68,75.989,74.95,75.232,21941180.0,75.232,1504.63,07-18-22
JPM,08-14-20,101.5,103.31,101.42,102.41,12117738.0,92.069,102.41,04-04-24
MSFT,08-14-20,208.76,209.59,207.51,208.9,17958936.0,202.013,208.9,02-14-24
TSLA,08-14-20,110.999,111.253,108.443,110.047,188664210.0,110.047,1650.71,08-25-22
NVDA,08-14-20,115.3,117.047,114.405,115.64,36643616.0,115.311,462.56,03-05-24
V,08-14-20,197.01,198.07,195.77,196.64,5012662.0,191.77,196.64,02-08-24
JNJ,08-14-20,147.61,149.34,147.58,148.24,4238812.0,133.912,148.24,02-16-24
AAPL,08-14-20,114.829,115.0,113.045,114.907,165565208.0,112.579,459.63,02-09-24
GOOGL,08-17-20,75.799,76.189,75.25,75.812,19960200.0,75.812,1516.24,07-18-22
JPM,08-17-20,101.5,102.0,99.53,99.71,14975858.0,89.641,99.71,04-04-24
MSFT,08-17-20,209.6,211.187,208.915,210.28,20063496.0,203.348,210.28,02-14-24
TSLA,08-17-20,111.8,123.057,111.522,122.376,300346560.0,122.376,1835.64,08-25-22
NVDA,08-17-20,118.513,124.097,118.172,123.37,61671432.0,123.019,493.48,03-05-24
V,08-17-20,197.3,200.46,196.71,199.43,6254320.0,194.491,199.43,02-08-24
JNJ,08-17-20,148.32,150.23,148.23,148.99,4305180.0,134.589,148.99,02-16-24
AAPL,08-17-20,116.062,116.088,113.963,114.608,117725656.0,112.285,458.43,02-09-24
AMZN,08-17-20,158.656,159.748,157.709,159.12,53517800.0,159.12,3182.41,12-07-23
AMZN,08-18-20,160.6,166.0,160.291,165.624,106379580.0,165.624,3312.49,12-07-23
GOOGL,08-18-20,76.306,77.868,76.083,77.789,27999560.0,77.789,1555.78,07-18-22
```
